Категория,Статья
,106
,110
,113
,116
,125
,133
,134
,135
,140
,145
,148
,149
,153
,154
,155
,156
,168
экономической направленности,170
,173
,177
,182
экономической направленности,190
экономической направленности,192
экономической направленности,193
экономической направленности,196
экономической направленности,197
,207
,218
,224
связанные с оборотом наркотиков,233
,242
экологические,246
,255
,257
,259
,262
,265
,270
,271
,275
,276
террористического характера,277
,278
,279
,284
,288
коррупционной направленности,289
,295
,300
экономической направленности,304
,308
,310
,314
,315
,316
,317
,319
,324
,329
связанные с незаконным оборотом оружия,355
экстремистской направленности,357
,358
,361
в результате совершения которых возможна смерть потерпевших,105ч.1
в результате совершения которых возможна смерть потерпевших,105ч.2
,107ч.1
,107ч.2
,108ч.1
,108ч.2
в результате совершения которых возможна смерть потерпевших,109ч.1
в результате совершения которых возможна смерть потерпевших,109ч.2
в результате совершения которых возможна смерть потерпевших,109ч.3
,110.1
,110.1ч.1
,110.1ч.2
,110.1ч.3
,110.1ч.4
,110.1ч.5
в результате совершения которых возможна смерть потерпевших,110.1ч.6
,110.2
,110.2ч.1
,110.2ч.2
,110ч.1
,110ч.2
в результате совершения которых возможна смерть потерпевших,111ч.1
в результате совершения которых возможна смерть потерпевших,111ч.2
в результате совершения которых возможна смерть потерпевших,111ч.3
в результате совершения которых возможна смерть потерпевших,111ч.4
,112ч.1
,112ч.2
,114ч.1
,114ч.2
,115ч.1
,115ч.2
,116.1
,116ч.1
,116ч.2
,117ч.1
,117ч.2
,118ч.1
,118ч.2
,118ч.3
,118ч.4
,119ч.1
,119ч.2
,120ч.1
,120ч.2
,121ч.1
,121ч.2
,122ч.1
,122ч.2
,122ч.3
,122ч.4
,123ч.1
,123ч.2
,123ч.3
,124ч.1
,124ч.2
,126ч.1
,126ч.2
,126ч.3
,127.1ч.1
,127.1ч.2
,127.1ч.3
,127.2ч.1
,127.2ч.2
,127.2ч.3
,127ч.1
,127ч.2
,127ч.3
,128.1
,128.1ч.1
,128.1ч.2
,128.1ч.3
,128.1ч.4
,128.1ч.5
,128ч.1
,128ч.2
,129ч.1
,129ч.2
,129ч.3
,130ч.1
,130ч.2
,131ч.1
,131ч.2
,131ч.3
в результате совершения которых возможна смерть потерпевших,131ч.4
,131ч.5
,132ч.1
,132ч.2
,132ч.3
в результате совершения которых возможна смерть потерпевших,132ч.4
,132ч.5
,133ч.1
,133ч.2
,134ч.1
,134ч.2
,134ч.3
,134ч.4
,134ч.5
,134ч.6
,135ч.1
,135ч.2
,135ч.3
,135ч.4
,135ч.5
,136ч.1
,136ч.2
,137ч.1
,137ч.2
,137ч.3
,138.1
,138ч.1
,138ч.2
,138ч.3
,139ч.1
,139ч.2
,139ч.3
коррупционной направленности,141.1ч.1
коррупционной направленности,141.1ч.2
,141ч.1
,141ч.2
,141ч.3
,142.1
,142.2ч.1
,142.2ч.2
,142.2ч.3
,142ч.1
,142ч.2
,142ч.3
,143ч.1
в результате совершения которых возможна смерть потерпевших,143ч.2
в результате совершения которых возможна смерть потерпевших,143ч.3
,144.1
,144ч.1
,144ч.2
